"no_heading_1"	"no_heading_2"	"no_heading_3"	"no_heading_4"	"no_heading_5"	"no_heading_6"	"no_heading_7"	"no_heading_8"	"no_heading_9"	"no_heading_10"	"no_heading_11"	"no_heading_12"	"no_heading_13"	"no_heading_14"	"no_heading_15"	"no_heading_16"	"no_heading_17"	"no_heading_18"	"no_heading_19"	"no_heading_20"	"no_heading_21"
"CrOH+2"	9.973865253537403e-09	"Cr(OH)2+"	1.704386386788938e-09	"Cr+3"	1.255969629750684e-09	"pH"	5.000000000000000e+00	"pe"	-4.453837784571223e+00	"PO2"	-8.000000000000000e+01	"PH2"	-1.018844529385179e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	9.973882478376415e-09	"Cr(OH)2+"	1.704390192269456e-09	"Cr+3"	1.255971149183569e-09	"pH"	5.000000000000000e+00	"pe"	-4.353335386596772e+00	"PO2"	-7.959799000000000e+01	"PH2"	-1.219849325334082e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	9.973949051336601e-09	"Cr(OH)2+"	1.704403008640858e-09	"Cr+3"	1.255978447664588e-09	"pH"	5.000000000000000e+00	"pe"	-3.448812807272476e+00	"PO2"	-7.597989900000000e+01	"PH2"	-3.028894483982673e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	9.973934283362282e-09	"Cr(OH)2+"	1.704200235852958e-09	"Cr+3"	1.256171269723266e-09	"pH"	5.000000000000000e+00	"pe"	-2.443787798262673e+00	"PO2"	-7.195979900000000e+01	"PH2"	-5.038944502002281e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	9.973746856371097e-09	"Cr(OH)2+"	1.702387679516241e-09	"Cr+3"	1.257879397294065e-09	"pH"	5.000000000000000e+00	"pe"	-1.438762432652644e+00	"PO2"	-6.793969800000001e+01	"PH2"	-7.048995233222337e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	9.973916759518089e-09	"Cr(OH)2+"	1.687370799023317e-09	"Cr+3"	1.272589214006840e-09	"pH"	5.000000000000000e+00	"pe"	-4.337364014244988e-01	"PO2"	-6.391959800000000e+01	"PH2"	-9.059047295678628e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	9.973914747020607e-09	"Cr(OH)2+"	1.687370096412613e-09	"Cr+3"	1.272589298601764e-09	"pH"	5.000000000000000e+00	"pe"	5.712888562147425e-01	"PO2"	-5.989949700000000e+01	"PH2"	-1.106909781095711e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	9.973914727877024e-09	"Cr(OH)2+"	1.687370776612043e-09	"Cr+3"	1.272588627147956e-09	"pH"	5.000000000000000e+00	"pe"	1.576313855935568e+00	"PO2"	-5.587939700000000e+01	"PH2"	-1.307914781039876e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	9.973914717849791e-09	"Cr(OH)2+"	1.687371021353613e-09	"Cr+3"	1.272588384504233e-09	"pH"	5.000000000000000e+00	"pe"	2.581339105908286e+00	"PO2"	-5.185929600000000e+01	"PH2"	-1.508919831034420e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	9.973914788614611e-09	"Cr(OH)2+"	1.687366111456230e-09	"Cr+3"	1.272593212691770e-09	"pH"	5.000000000000000e+00	"pe"	3.586364107243858e+00	"PO2"	-4.783919600000000e+01	"PH2"	-1.709924831301534e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	9.973914915029218e-09	"Cr(OH)2+"	1.687357358272211e-09	"Cr+3"	1.272601820312610e-09	"pH"	5.000000000000000e+00	"pe"	4.591389359622248e+00	"PO2"	-4.381909500000000e+01	"PH2"	-1.910929881777212e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	9.973914952167464e-09	"Cr(OH)2+"	1.687354786697200e-09	"Cr+3"	1.272604349129706e-09	"pH"	5.000000000000000e+00	"pe"	5.596414360320630e+00	"PO2"	-3.979899500000000e+01	"PH2"	-2.111934881916888e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	9.973914956555584e-09	"Cr(OH)2+"	1.687354482052180e-09	"Cr+3"	1.272604648706187e-09	"pH"	5.000000000000000e+00	"pe"	6.601439610403353e+00	"PO2"	-3.577889400000000e+01	"PH2"	-2.312939931933433e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	9.973914945213025e-09	"Cr(OH)2+"	1.687354449352664e-09	"Cr+3"	1.272604677397469e-09	"pH"	5.000000000000000e+00	"pe"	7.606464610411691e+00	"PO2"	-3.175879400000000e+01	"PH2"	-2.513944931935101e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	9.973902742982279e-09	"Cr(OH)2+"	1.687352381970423e-09	"Cr+3"	1.272603123459604e-09	"pH"	5.000000000000000e+00	"pe"	8.611489860412517e+00	"PO2"	-2.773869300000000e+01	"PH2"	-2.714949981935266e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	9.961285469061209e-09	"Cr(OH)2+"	1.685217832360679e-09	"Cr+3"	1.270993244189865e-09	"pH"	5.000000000000000e+00	"pe"	9.616514860412780e+00	"PO2"	-2.371859300000000e+01	"PH2"	-2.915954981935318e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	7.093888169533667e-09	"CrOH+2"	4.312749809312425e-09	"Cr(OH)2+"	7.296169663498014e-10	"pH"	5.000000000000000e+00	"pe"	1.062154011049392e+01	"PO2"	-1.969849200000000e+01	"PH2"	-3.116960031951546e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	9.582976279735064e-09	"Cr(OH)2+"	1.621216715816741e-09	"Cr+3"	1.222723527876304e-09	"pH"	5.000000000000000e+00	"pe"	1.011902736041822e+01	"PO2"	-2.170854299999999e+01	"PH2"	-3.016457481936407e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	7.093888169533667e-09	"CrOH+2"	4.312749809312425e-09	"Cr(OH)2+"	7.296169663498014e-10	"pH"	5.000000000000000e+00	"pe"	1.062154011049392e+01	"PO2"	-1.969849200000000e+01	"PH2"	-3.116960031951546e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	8.099602047834692e-09	"HCrO4-"	2.348682191101142e-09	"Cr(OH)2+"	1.370264294516077e-09	"pH"	5.000000000000000e+00	"pe"	1.037028361043953e+01	"PO2"	-2.070351800000000e+01	"PH2"	-3.066708731940668e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	7.093888169533667e-09	"CrOH+2"	4.312749809312425e-09	"Cr(OH)2+"	7.296169663498014e-10	"pH"	5.000000000000000e+00	"pe"	1.062154011049392e+01	"PO2"	-1.969849200000000e+01	"PH2"	-3.116960031951546e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	6.430039675665995e-09	"HCrO4-"	4.440777111498440e-09	"Cr(OH)2+"	1.087813170053202e-09	"pH"	5.000000000000000e+00	"pe"	1.049591186046351e+01	"PO2"	-2.020100499999999e+01	"PH2"	-3.091834381945464e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	7.093888169533667e-09	"CrOH+2"	4.312749809312425e-09	"Cr(OH)2+"	7.296169663498014e-10	"pH"	5.000000000000000e+00	"pe"	1.062154011049392e+01	"PO2"	-1.969849200000000e+01	"PH2"	-3.116960031951546e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
