"no_heading_1"	"no_heading_2"	"no_heading_3"	"no_heading_4"	"no_heading_5"	"no_heading_6"	"no_heading_7"	"no_heading_8"	"no_heading_9"	"no_heading_10"	"no_heading_11"	"no_heading_12"	"no_heading_13"	"no_heading_14"	"no_heading_15"	"no_heading_16"	"no_heading_17"	"no_heading_18"	"no_heading_19"	"no_heading_20"	"no_heading_21"
"CrOH+2"	1.994692603792276e-09	"Cr(OH)2+"	3.023524438877343e-10	"Cr+3"	2.901053505173818e-10	"pH"	5.000000000000000e+00	"pe"	-4.453821573966885e+00	"PO2"	-8.000000000000000e+01	"PH2"	-1.018876950593855e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.994696078413105e-09	"Cr(OH)2+"	3.023531306227858e-10	"Cr+3"	2.901057007335820e-10	"pH"	5.000000000000000e+00	"pe"	-4.353319175864184e+00	"PO2"	-7.959799000000000e+01	"PH2"	-1.219881746799258e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.994709440717628e-09	"Cr(OH)2+"	3.023554238827268e-10	"Cr+3"	2.901073845555206e-10	"pH"	5.000000000000000e+00	"pe"	-3.448796596368069e+00	"PO2"	-7.597989900000000e+01	"PH2"	-3.028926905791488e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.994699635160064e-09	"Cr(OH)2+"	3.023221850488460e-10	"Cr+3"	2.901391378260639e-10	"pH"	5.000000000000000e+00	"pe"	-2.443771578818474e+00	"PO2"	-7.195979900000000e+01	"PH2"	-5.038976940890677e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.994607223373706e-09	"Cr(OH)2+"	3.020476126912998e-10	"Cr+3"	2.903980208223796e-10	"pH"	5.000000000000000e+00	"pe"	-1.438746116368793e+00	"PO2"	-6.793969800000001e+01	"PH2"	-7.049027865790039e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.994578366649692e-09	"Cr(OH)2+"	3.015224736300971e-10	"Cr+3"	2.909383877604574e-10	"pH"	5.000000000000000e+00	"pe"	-4.337206134337656e-01	"PO2"	-6.391959800000000e+01	"PH2"	-9.059078871660095e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.994578079646103e-09	"Cr(OH)2+"	3.015224319800314e-10	"Cr+3"	2.909383434093211e-10	"pH"	5.000000000000000e+00	"pe"	5.713046425070083e-01	"PO2"	-5.989949700000000e+01	"PH2"	-1.106912938354164e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.994578079486225e-09	"Cr(OH)2+"	3.015224304963516e-10	"Cr+3"	2.909383449122337e-10	"pH"	5.000000000000000e+00	"pe"	1.576329642513267e+00	"PO2"	-5.587939700000000e+01	"PH2"	-1.307917938355416e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.994578075348859e-09	"Cr(OH)2+"	3.015223221631699e-10	"Cr+3"	2.909384569832603e-10	"pH"	5.000000000000000e+00	"pe"	2.581354892596453e+00	"PO2"	-5.185929600000000e+01	"PH2"	-1.508922988372053e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.994577946452278e-09	"Cr(OH)2+"	3.015189567587723e-10	"Cr+3"	2.909419384019614e-10	"pH"	5.000000000000000e+00	"pe"	3.586379895179181e+00	"PO2"	-4.783919600000000e+01	"PH2"	-1.709927988888599e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.994577889248707e-09	"Cr(OH)2+"	3.015174634707543e-10	"Cr+3"	2.909434831694698e-10	"pH"	5.000000000000000e+00	"pe"	4.591405146328834e+00	"PO2"	-4.381909500000000e+01	"PH2"	-1.910933039118530e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.994577888441595e-09	"Cr(OH)2+"	3.015174424443069e-10	"Cr+3"	2.909435049201714e-10	"pH"	5.000000000000000e+00	"pe"	5.596430146346210e+00	"PO2"	-3.979899500000000e+01	"PH2"	-2.111938039122005e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.994577891273364e-09	"Cr(OH)2+"	3.015174426588490e-10	"Cr+3"	2.909435055565969e-10	"pH"	5.000000000000000e+00	"pe"	6.601455396346517e+00	"PO2"	-3.577889400000000e+01	"PH2"	-2.312943089122066e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.994577886316788e-09	"Cr(OH)2+"	3.015174419066514e-10	"Cr+3"	2.909435048366462e-10	"pH"	5.000000000000000e+00	"pe"	7.606480396346533e+00	"PO2"	-3.175879400000000e+01	"PH2"	-2.513948089122069e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.994575697426971e-09	"Cr(OH)2+"	3.015171110152489e-10	"Cr+3"	2.909431855495184e-10	"pH"	5.000000000000000e+00	"pe"	8.611505646346535e+00	"PO2"	-2.773869300000000e+01	"PH2"	-2.714953139122069e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.992312068340696e-09	"Cr(OH)2+"	3.011749214946624e-10	"Cr+3"	2.906129962972426e-10	"pH"	5.000000000000000e+00	"pe"	9.616530646346568e+00	"PO2"	-2.371859300000000e+01	"PH2"	-2.915958139122076e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	1.346283239106239e-09	"CrOH+2"	9.160124385920136e-10	"Cr(OH)2+"	1.384722699070999e-10	"pH"	5.000000000000000e+00	"pe"	1.062155589636220e+01	"PO2"	-1.969849200000000e+01	"PH2"	-3.116963189125202e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.924165658080248e-09	"Cr(OH)2+"	2.908733276521021e-10	"Cr+3"	2.806726697723956e-10	"pH"	5.000000000000000e+00	"pe"	1.011904314634756e+01	"PO2"	-2.170854300000000e+01	"PH2"	-3.016460639122274e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	1.346283239106239e-09	"CrOH+2"	9.160124385920136e-10	"Cr(OH)2+"	1.384722699070999e-10	"pH"	5.000000000000000e+00	"pe"	1.062155589636220e+01	"PO2"	-1.969849200000000e+01	"PH2"	-3.116963189125202e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.651721955280229e-09	"HCrO4-"	4.279593402976358e-10	"Cr(OH)2+"	2.496884088709178e-10	"pH"	5.000000000000000e+00	"pe"	1.037029939635151e+01	"PO2"	-2.070351800000000e+01	"PH2"	-3.066711889123065e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	1.346283239106239e-09	"CrOH+2"	9.160124385920136e-10	"Cr(OH)2+"	1.384722699070999e-10	"pH"	5.000000000000000e+00	"pe"	1.062155589636220e+01	"PO2"	-1.969849200000000e+01	"PH2"	-3.116963189125202e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.334720382897624e-09	"HCrO4-"	8.236460321540712e-10	"Cr(OH)2+"	2.017677416552226e-10	"pH"	5.000000000000000e+00	"pe"	1.049592764635612e+01	"PO2"	-2.020100499999999e+01	"PH2"	-3.091837539123986e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	1.346283239106239e-09	"CrOH+2"	9.160124385920136e-10	"Cr(OH)2+"	1.384722699070999e-10	"pH"	5.000000000000000e+00	"pe"	1.062155589636220e+01	"PO2"	-1.969849200000000e+01	"PH2"	-3.116963189125202e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.131379722301498e-09	"HCrO4-"	1.077458889233519e-09	"Cr(OH)2+"	1.710290293587058e-10	"pH"	5.000000000000000e+00	"pe"	1.055874164635907e+01	"PO2"	-1.994974900000000e+01	"PH2"	-3.104400339124577e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	1.346283239106239e-09	"CrOH+2"	9.160124385920136e-10	"Cr(OH)2+"	1.384722699070999e-10	"pH"	5.000000000000000e+00	"pe"	1.062155589636220e+01	"PO2"	-1.969849200000000e+01	"PH2"	-3.116963189125202e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
